sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-1099	BS_052PZFMK	BS_R9B71R7T	BS_052PZFMK
7316-4740	BS_0BBCFXDQ	BS_6WPS513V	BS_0BBCFXDQ
7316-2176	BS_0C7VZC0A	BS_NBY2QK7M	BS_0C7VZC0A
7316-1746	BS_0RQ4P069	BS_XPBRB9S7	BS_0RQ4P069
7316-466	BS_0VXZCRJS	BS_YXXWVEYJ	BS_0VXZCRJS
7316-5335	BS_0Z1XRQ8F	BS_GTF0J2P7	BS_0Z1XRQ8F
7316-6381	BS_12G04QJM	BS_1ZAER3AN	BS_12G04QJM
7316-8851	BS_1A521KDP	BS_BQA22THB	BS_1A521KDP
7316-1769	BS_1A6MQ9ZA	BS_9FKT8K0G	BS_1A6MQ9ZA
7316-4337	BS_1BJNPHMD	BS_RZ4SDMXA	BS_1BJNPHMD
7316-1695	BS_1D6PZNKN	BS_7NPV770K	BS_1D6PZNKN
7316-7075	BS_1D93Z575	BS_ENH6KT2R	BS_1D93Z575
7316-9433	BS_1E684SD5	BS_E42TRDVH	BS_1E684SD5
7316-913	BS_1EBQ3T20	BS_DZGBN4Z0	BS_1EBQ3T20
7316-2561	BS_1EN5V3XW	BS_R7CV19F3	BS_1EN5V3XW
7316-114	BS_23QW0BBA	BS_V6MCRDCB	BS_23QW0BBA
7316-4800	BS_25HNKZ79	BS_8WG0HR0E	BS_25HNKZ79
7316-6761	BS_25KYGJ71	BS_Z5AD9WRE	BS_25KYGJ71
7316-3677	BS_297H8BT4	BS_CQM7QGQB	BS_297H8BT4
7316-3058	BS_2A162JH9	BS_897FT64P	BS_2A162JH9
7316-1085	BS_2A5R9MEJ	BS_PYSE2QW3	BS_2A5R9MEJ
7316-6349	BS_2AV1H5TV	BS_41G5ASPE	BS_2AV1H5TV
7316-7621	BS_2FEZWH1F	BS_T8GDG1XP	BS_2FEZWH1F
7316-4844	BS_2GSAPE1R	BS_DSZSFTR6	BS_2GSAPE1R
7316-3655	BS_2T5PJAW8	BS_FTF4DNPM	BS_2T5PJAW8
7316-639	BS_30VC3R2Q	BS_RFJWSR7P	BS_30VC3R2Q
7316-2189	BS_31XK6FNH	BS_MQ55A0TN	BS_31XK6FNH
7316-3030	BS_399RPKC9	BS_S475E17R	BS_399RPKC9
7316-624	BS_3AC3SRWH	BS_JJZKPXCK	BS_3AC3SRWH
7316-445	BS_3JQDQR52	BS_7R0JWX21	BS_3JQDQR52
7316-519	BS_3MS8WVNR	BS_7YW8W58B	BS_3MS8WVNR
7316-2610	BS_45J79YTF	BS_YV7KQVDG	BS_45J79YTF
7316-2151	BS_49BQS7Z6	BS_98S645ES	BS_49BQS7Z6
7316-1789	BS_49FQXT2E	BS_2N7G3R27	BS_49FQXT2E
7316-2152	BS_4B0BAVTX	BS_5NG858V5	BS_4B0BAVTX
7316-7756	BS_4BM3F6XJ	BS_YRQG3GVC	BS_4BM3F6XJ
7316-7622	BS_4FSWWNAK	BS_E9PJZ7VC	BS_4FSWWNAK
7316-9066	BS_4J9RWYRN	BS_56PCCAVM	BS_4J9RWYRN
7316-870	BS_4PPHAQXF	BS_3MYH1TKQ	BS_4PPHAQXF
7316-716	BS_4PWDGEB0	BS_N55ANSCK	BS_4PWDGEB0
7316-195	BS_4QW2S1Q8	BS_BJ9ACB1Q	BS_4QW2S1Q8
7316-9840	BS_4T0HQ9QF	BS_0SQ5T1DR	BS_4T0HQ9QF
7316-4942	BS_4V42BXBT	BS_MX0DDD8T	BS_4V42BXBT
7316-644	BS_51RA1PGE	BS_1PTQFNW5	BS_51RA1PGE
7316-3075	BS_52C576HH	BS_GJCT6WCH	BS_52C576HH
7316-2703	BS_52MPKTJH	BS_0NHZ9HY6	BS_52MPKTJH
7316-1057	BS_58YXHGAJ	BS_Y6CXCPED	BS_58YXHGAJ
7316-2557	BS_5965SFPZ	BS_G6DSNCE9	BS_5965SFPZ
7316-37	BS_596QRYFP	BS_PKCV80C3	BS_596QRYFP
7316-85	BS_59ZJWJTF	BS_7JTWSDK1	BS_59ZJWJTF
7316-158	BS_5AK32KGB	BS_H07WTQEH	BS_5AK32KGB
7316-430	BS_5CTVXVRX	BS_1TPEKAK9	BS_5CTVXVRX
7316-6807	BS_5G5BD2MD	BS_5YM07796	BS_5G5BD2MD
7316-6884	BS_5KBXD2GQ	BS_0K1E1H3F	BS_5KBXD2GQ
7316-719	BS_6DCSD5Y6	BS_05YAF3YQ	BS_6DCSD5Y6
7316-1893	BS_6VPKXXMR	BS_1NRF8RFY	BS_6VPKXXMR
7316-4543	BS_6VRG1XFB	BS_GWGDB4AM	BS_6VRG1XFB
7316-1763	BS_6WP1FHTE	BS_QWM1BP7G	BS_6WP1FHTE
7316-2308	BS_7327SDAQ	BS_NV6NQHM2	BS_7327SDAQ
7316-6151	BS_77SBTNPN	BS_CPBKXP86	BS_77SBTNPN
7316-544	BS_7GJT4A6A	BS_9R6GH6CW	BS_7GJT4A6A
7316-2784	BS_7PVJ6Q3D	BS_Q0PBV7W5	BS_7PVJ6Q3D
7316-8970	BS_7WKNNRHK	BS_6RRQZCP7	BS_7WKNNRHK
7316-8016	BS_84VZX732	BS_0WPTQK91	BS_84VZX732
7316-2241	BS_84XCR9GG	BS_N5VEQ8RH	BS_84XCR9GG
7316-3079	BS_8ERBDF7D	BS_CYX19WJT	BS_8ERBDF7D
7316-8967	BS_8G9XDK15	BS_ATR3CMEZ	BS_8G9XDK15
7316-1694	BS_8MA5B8Y9	BS_TSMY09VT	BS_8MA5B8Y9
7316-1946	BS_8PNA0V6R	BS_6AS03QVQ	BS_8PNA0V6R
7316-3026	BS_8YWYN7VH	BS_7YFAMEK4	BS_8YWYN7VH
7316-1723	BS_8ZS9F31R	BS_W0FSAQJ5	BS_8ZS9F31R
7316-6310	BS_91FSYZDH	BS_EE3NK86W	BS_91FSYZDH
7316-7963	BS_91JG3WPD	BS_G61KHHGG	BS_91JG3WPD
7316-2660	BS_91VYM11A	BS_PNRVT0G5	BS_91VYM11A
7316-6477	BS_93B03065	BS_0YPKW34G	BS_93B03065
7316-4993	BS_96BNRT9G	BS_FQKWSDEZ	BS_96BNRT9G
7316-3208	BS_97M1E2DW	BS_XWAT4JQM	BS_97M1E2DW
7316-545	BS_9CA93S6D	BS_9THYN9W6	BS_9CA93S6D
7316-4036	BS_9FHEFJNP	BS_AJS9XPEA	BS_9FHEFJNP
7316-3625	BS_9XVACXP0	BS_ZBHB9GQ9	BS_9XVACXP0
7316-8461	BS_9Y1K14Q5	BS_D8EY5WJY	BS_9Y1K14Q5
7316-4516	BS_9ZJT0CP0	BS_3FDXMB1Q	BS_9ZJT0CP0
7316-2140	BS_A0DYVX9J	BS_2P2JFKJ7	BS_A0DYVX9J
7316-126	BS_A7Q8G0Y1	BS_NW4MHHTV	BS_A7Q8G0Y1
7316-3769	BS_AWH9757B	BS_WRAG947K	BS_AWH9757B
7316-715	BS_B1C6GZ84	BS_TMEH787Y	BS_B1C6GZ84
7316-4347	BS_B1HF89ES	BS_K2D8KT1S	BS_B1HF89ES
7316-4952	BS_BBQ6BHGN	BS_12SATYJ3	BS_BBQ6BHGN
7316-343	BS_BMMY0H73	BS_TME3CH5P	BS_BMMY0H73
7316-717	BS_C3NW374Q	BS_F15BYNC0	BS_C3NW374Q
7316-1059	BS_C41DJZ1F	BS_R96F3NVZ	BS_C41DJZ1F
7316-1105	BS_C6ZZ3FY5	BS_2ETZRJQ6	BS_C6ZZ3FY5
7316-8856	BS_CFD3WHAY	BS_WD1MS5X0	BS_CFD3WHAY
7316-161	BS_CS091RPM	BS_98KYK28K	BS_CS091RPM
7316-7498	BS_CXAQDK7S	BS_RRA4GWN4	BS_CXAQDK7S
7316-2100	BS_CXVGG342	BS_KBRRF2J1	BS_CXVGG342
7316-6570	BS_D4VNDNQA	BS_BSZBVXQ2	BS_D4VNDNQA
7316-6047	BS_DB75RPCD	BS_D6HWJ3H8	BS_DB75RPCD
7316-714	BS_DFGS950G	BS_AW4FGY4C	BS_DFGS950G
7316-2857	BS_DS438CXE	BS_V38JC9TH	BS_DS438CXE
7316-3161	BS_DZNXFPH1	BS_EY0NRDDP	BS_DZNXFPH1
7316-4432	BS_ED8G98XT	BS_TRSPTHMM	BS_ED8G98XT
7316-8420	BS_EDJ5TV0P	BS_0BE09VC0	BS_EDJ5TV0P
7316-535	BS_FEV5A0HN	BS_0EXCT8V6	BS_FEV5A0HN
7316-1102	BS_FH4TA0XM	BS_5NM9GXXV	BS_FH4TA0XM
7316-255	BS_FN07P04C	BS_DZ2ZX07K	BS_FN07P04C
7316-2640	BS_FX2P2WEG	BS_0QDG4N14	BS_FX2P2WEG
7316-5267	BS_FYP2B298	BS_CD906YAB	BS_FYP2B298
7316-1187	BS_FYRDYBMZ	BS_Z4Q0JCGB	BS_FYRDYBMZ
7316-5323	BS_G19QZG4S	BS_RPTM95GE	BS_G19QZG4S
7316-4553	BS_G257VSS9	BS_7Q2WKSSX	BS_G257VSS9
7316-2085	BS_G3RJTBZD	BS_K1JR4YRA	BS_G3RJTBZD
7316-6813	BS_G8TXTX0H	BS_ZJARR92P	BS_G8TXTX0H
7316-6088	BS_G97WTXW8	BS_FR4K7JTC	BS_G97WTXW8
7316-3817	BS_GG9W3J9Y	BS_83XZJWG0	BS_GG9W3J9Y
7316-1956	BS_GW0GKWMS	BS_EDK7V3CK	BS_GW0GKWMS
7316-3858	BS_GWHYM3R4	BS_K4MHEHHC	BS_GWHYM3R4
7316-2146	BS_H0QWRJE2	BS_6ZSPAKYX	BS_H0QWRJE2
7316-1106	BS_H1XPVS9A	BS_96QPQX80	BS_H1XPVS9A
7316-1055	BS_H1ZS5FMZ	BS_3YAHMPSG	BS_H1ZS5FMZ
7316-9838	BS_H5VQJR7X	BS_S1MG1BK6	BS_H5VQJR7X
7316-6535	BS_HDPCQETG	BS_5KKQFB5Z	BS_HDPCQETG
7316-1455	BS_HE0WJRW6	BS_F0FV7NE3	BS_HE0WJRW6
7316-6387	BS_J4JY2F3H	BS_A746BQ2T	BS_J4JY2F3H
