ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	comparison
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	54	0.5826958219321513	3.3851479247170935	1e-10	2.7e-9	1.6842105263157895e-9	1100	tags=59%, list=15%, signal=51%	B2M/SCD/ZMIZ1/XRCC5/ABHD2/TSC22D1/CCND1/AKAP12/XRCC6/SLC38A2/ITGAV/SAT1/ACTN1/DBI/LIFR/MYL12A/SELENOP/PA2G4/SGK1/PDLIM5/LMAN1/FKBP5/SPCS3/UBE2J1/CCND3/GNAI3/HMGCR/B4GALT1/TMEM50A/SMS/KRT8/ARID5B	cluster_6_vs_rest
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	39	0.5203183524273457	2.7341116065905506	5.278583200095451e-8	7.126087320128859e-7	4.4451226948172217e-7	1292	tags=54%, list=18%, signal=45%	KIF1B/TMED10/PAM/SEC31A/ERGIC3/IGF2R/TMED2/CLCN3/ARCN1/ABCA1/COPB1/LMAN1/AP1G1/RAB2A/DNM1L/YKT6/CTSC/VAMP3/SEC22B/USO1/STX12	cluster_6_vs_rest
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	51	0.44175269906288606	2.4796653309805543	3.560993422313425e-7	3.2048940800820827e-6	1.999154202000519e-6	2124	tags=65%, list=29%, signal=46%	LDHA/ATP5F1A/GLUD1/SLC25A5/CS/CYB5R3/ATP6V0C/VDAC1/ATP1B1/ACADVL/MAOB/PRDX3/ATP6V1E1/CPT1A/VDAC3/ATP6V0E1/COX7A2L/ATP6V1F/OAT/ALDH6A1/DLD/SDHC/AFG3L2/PDK4/ATP5F1D/NDUFS3/ATP6V1D/SLC25A4/ACAA2/ETFA/PDHB/ATP5ME/TIMM17A	cluster_6_vs_rest
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	57	0.3996224229756231	2.360942572324435	1.3828167774065766e-6	9.334013247494392e-6	5.822386431185586e-6	1651	tags=56%, list=22%, signal=44%	HSP90B1/YWHAZ/HSPA5/NPM1/EIF4A1/PDIA6/SEC31A/TUBB2A/IARS1/HYOU1/VEGFA/SHC1/XBP1/XPOT/SPCS3/SRPRA/EDEM1/HERPUD1/TARS1/TSPYL2/ATF6/SEC11A/SLC1A4/ALDH18A1/DNAJC3/EIF2S1/EIF4E/MTHFD2/MTREX/H2AX/ERO1A/ARFGAP1	cluster_6_vs_rest
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	23	0.6141443922552673	2.790289334772379	2.5568113694070212e-6	1.3806781394797916e-5	8.612417244318387e-6	1994	tags=83%, list=27%, signal=60%	MYH9/DPYSL2/NRCAM/ADGRG1/SCG2/RTN1/CRMP1/VEGFA/NRP1/TLE3/PTCH1/SLIT1/AMOT/PML/TLE1/OPHN1/CDK5R1/HEY1/RASA1	cluster_6_vs_rest
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	23	0.6010527310925946	2.7308089862137686	4.563905525026715e-6	2.0537574862620217e-5	1.281096287726797e-5	938	tags=61%, list=13%, signal=53%	COL3A1/SPP1/VCAN/CCND2/FSTL1/COL5A2/ITGAV/POSTN/LUM/VEGFA/JAG1/TNFRSF21/NRP1/LPL	cluster_6_vs_rest
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	36	0.44408434421870224	2.2351583279063716	1.4850434058091443e-5	5.728024565263842e-5	3.5730367658565876e-5	1160	tags=42%, list=16%, signal=35%	HSP90B1/CFL1/PFN1/YWHAB/ACTR2/SQSTM1/CXCR4/ACTR3/ARPC3/CDKN1A/ITPR2/PRKCB/STAT2/TNFRSF1A/TIAM1	cluster_6_vs_rest
HALLMARK_COAGULATION	HALLMARK_COAGULATION	65	0.31402511189459126	1.8487078487126847	6.064294242218119e-5	2.0466993067486152e-4	1.2766935246774988e-4	1085	tags=37%, list=15%, signal=32%	FN1/CLU/SPARC/A2M/C3/THBS1/WDR1/ANXA1/MMP14/VWF/SERPING1/FBN1/TF/MMP2/SERPINE1/ARF4/ADAM9/MMP9/SIRT2/PECAM1/GNG12/DUSP6/C1QA/FURIN	cluster_6_vs_rest
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	29	0.46747439893078896	2.1929460762582873	1.3566370785007001e-4	4.0699112355021004e-4	2.5387360533346434e-4	1307	tags=59%, list=18%, signal=48%	SPTBN1/RHOA/HIPK2/THBS1/RAB31/APC/JUNB/SERPINE1/TGFB1/TGFBR1/ENG/KLF10/ID2/SMAD3/FURIN/SLC20A1/LTBP2	cluster_6_vs_rest
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	40	0.3719339444062494	1.991826970348678	6.39698196183065e-4	0.0017271851296942755	0.0010773864356767408	1108	tags=35%, list=15%, signal=30%	ACTG1/CLU/SCD/FADS2/ANXA5/ABCA2/ALDOC/PNRC1/ALCAM/JAG1/S100A11/LPL/HMGCR/FDPS	cluster_6_vs_rest
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	22	0.4242765073993079	1.9125779709833057	0.005719402690033288	0.014038533875536252	0.008756980195266278	1263	tags=45%, list=17%, signal=38%	MBP/JUNB/PRDX2/GPX3/TXNRD1/PTPA/PFKP/PDLIM1/ABCC1/TXN	cluster_6_vs_rest
