ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	comparison
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	36	0.8786157404049052	3.8591903555599116	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	185	tags=67%, list=3%, signal=65%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35/HSPA1A/POLR2A/XPO1/RANBP2	cluster_8_vs_rest
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	22	0.9760332408631136	3.789490369413568	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	70	tags=95%, list=1%, signal=95%	EEF2/RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35	cluster_8_vs_rest
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	30	0.8810061055074813	3.7180789256629594	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	327	tags=77%, list=6%, signal=73%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35/SRP14/RPN1/DDOST	cluster_8_vs_rest
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	22	0.9529712884377237	3.6999513629975507	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	70	tags=91%, list=1%, signal=90%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35	cluster_8_vs_rest
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	22	0.9508043791297959	3.6915382458925188	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	70	tags=91%, list=1%, signal=90%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35	cluster_8_vs_rest
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	25	0.914602055034201	3.665713831642714	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	70	tags=80%, list=1%, signal=79%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35	cluster_8_vs_rest
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	45	0.784317212254262	3.6616995072653027	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	70	tags=44%, list=1%, signal=44%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35	cluster_8_vs_rest
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	76	0.7000449313404264	3.617849380831322	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	901	tags=62%, list=16%, signal=53%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/UBC/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RHOA/RPS13/UBA52/RPL35/CDC42/ENAH/CXCR4/PRKCA/MYO9B/CLASP2/CASC3/PSMB4/ABL1/ROBO1/CLASP1/GSPT1/PSMD4/PSMA7/PSMA6/PSMB1/PSMD8/NRP1/PSME1/PSMB7/PSMC1/PSMB2/RPL36AL/SOS1/ZSWIM8	cluster_8_vs_rest
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	28	0.8682422881036425	3.6075054912591815	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	443	tags=82%, list=8%, signal=76%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35/SMG1/CASC3/GSPT1	cluster_8_vs_rest
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	56	0.7144495146257787	3.493542477328821	1e-10	3.0571428571428573e-9	1.1629072681704261e-9	1083	tags=71%, list=19%, signal=58%	RPL10/RPS6/RPL7/RPL9/RPL21/RPS20/RPL41/RPS14/RPL17/RPS27A/RPS12/UBC/RPL11/RPS10/RPL39/RPL23/RPL12/RPS9/RPS13/UBA52/RPL35/CASC3/PSMB4/ROBO1/GSPT1/PSMD4/PSMA7/PSMA6/PSMB1/PSMD8/PSME1/PSMB7/PSMC1/PSMB2/RPL36AL/ZSWIM8/PSMD13/PSMB3/SLIT1/PSMC2	cluster_8_vs_rest
