ADAMTS2	ADAMTS7	AGRN	AHDC1	AHNAK	AHNAK2	ALMS1	ANK3	ARHGAP21	ARHGAP39	ARID3A	ATAD3B	BACH2	BDKRB1	BDP1	BRDT	CACNA1B	CACNA1H	CAMSAP3	CASS4	CASZ1	CCDC187	CDHR2	CEP170	CFAP46	CHD8	CLSTN3	CNTNAP3	COL12A1	CROCC	CSMD1	CSPG4	CTCF	CTNNB1	CUL9	DDX3X	DMD	DNAH10	DNAH17	DNAH3	DNHD1	DPY19L4	DSCAM	DYNC1H1	DYRK1A	EBF1	EPHB6	EVPLL	FAM47C	FAM71E2	FBN2	FBN3	FBXW10	FCGBP	FLG2	FLNB	GIT1	GOLGA6L2	GRIN2B	GSE1	HECTD4	HLA-A	HUWE1	IGFN1	IRF2BPL	IRX1	ISM2	ITGA1	ITPR3	KBTBD4	KDM6A	KIAA1549	KIAA2012	KIR2DL3	KL	KMT2C	KMT2D	KNDC1	LAMA5	LHX2	MAGEC1	MAP3K6	MDC1	MEGF6	MKI67	MT-CO1	MT-CYB	MT-ND1	MT-ND5	MUC12	MUC16	MUC17	MUC19	MUC2	MUC4	MUC5AC	MXRA5	MYH2	MYH4	MYO15A	MYO1F	NBEAL1	NCOR2	NIN	NOMO2	NRXN2	NRXN3	OBSCN	OVGP1	PARP4	PCDHB2	PHLPP1	PLIN4	PLXNA2	PLXNB3	PRDM2	PRKDC	PTCH1	PTEN	RAMP2	RBMX	RBMXL3	REPS1	RGPD3	RYR1	SDHA	SEMG2	SETD2	SLCO1B3-SLCO1B7	SMARCA4	SOX1	SOX4	SPDYE1	SRRM3	STAG2	SUPT20HL1	SUSD2	SYNE1	TAF1L	TCF4	TCHH	TEX13C	TNXB	TP53	TRIM33	TTN	UBR4	UNC13C	UNC93B1	USF3	VCAN	WASH6P	WASHC2A	ZAP70	ZIC5	ZMYM3	ZNF25	ZNF462	ZNF544	ZNF546	ZNF729	ZNF780A	ZNF786	ZNF813	ZNF875	ZNF90	ZNF91	ZNF92	ZNF93	ZSWIM8
0	0	0	0	0	0.02556647705685932	0	0	0.10198312432388429	0	0.22379865542264868	0	0	0.011509828708592768	0	0.24815868435260574	0	0	0.293891367808352	0	0	0	0	0.46114040385837446	0.14403688617962543	0.1618631743409677	0.2247421881189606	0	0.011812384508154292	0.09883217471477213	0.06622735741089372	0.11104233893528058	0	0	0	0	0	0.017909509465555057	0	0.11838993763272668	0	0.07600888481243889	0	0.18762116188910602	0	0.1435297026275819	0.15225256779255852	0	0.2396391068723495	0	0.0033911201003502534	0.035943546724141795	0	0.11655845583501942	0	0.08527122757511067	0.040999906339712455	0.21604639048026225	0.1805214200803255	0	0.21988651183318467	0	0	0	0.218123064618713	0.011345904975641918	0.3650957690055271	0	0	0	0	0.19009506183357275	0.06728588801489227	0.016606284684079122	0.16741350633969448	0.20897943327264437	0.16394814476375316	0	0.11697116647776648	0	0	0	0.08048154691193864	0	0.1623967732589753	0	0	0.16359541221609555	0	0.22797446180954825	0.31242206546714074	0	0	0	0.16704339623638392	0	0.25016711114076273	0	0.0471184134376412	0.3025080226968642	0.12312603050099652	0.008532204537305965	0	0	0	0.21051119834894566	0.18389283518316474	0	0	0.2229934622869986	0.3402221313324728	0.012770494227157925	0.38043724302242093	0	0	0	0	0	0.156087065984857	0	0	0	0	0	0.03473670917952725	0	0	0.36052373345119426	0	0.06156836852036962	0.1407863790215212	0.13391533584216775	0.12337489283687814	0.14275243019304357	0	0.2019517072165527	0	0.14438147949559496	0.07827587870165126	0	0	0	0.22399815675832094	0.2169905066502653	0	0	0	0	0	0	0	0.29368536932522993	0.08783048177709354	0.11631803415123082	0	0.017237559060126154	0.07248217725071965	0	0	0.11158833472634805	0	0	0	0.10756975792026506	0	0	0	0.012293356479137152	0.0044532025971394384	0
0.3576609201546216	0.07634365934496837	0.6045210208795748	0.08604457794658532	0.1003419874731327	0.5985903980421909	0.37469102521234116	0.24277649031374335	0.06311175518558955	0.3559587324591835	0.28360954231477525	0.4406882161595473	0.07217843436672422	0.01238977828669155	0.08857586890624326	0.01992081665876335	0.35522315534699583	0.0931158783284447	0.031582230789390126	0.27052150705907574	0.11605628641031149	0	0.2464986850759539	0	0.2520903417970215	0.31968561063859885	0.02217386648175397	0	0.30577771305156526	0	0.057568388623813777	0.5501987548617939	0.4083538434663617	0.09452753019578397	0.09797768629290547	0.696591061633409	0.2557749784247675	0.31911229755486414	0.22322931102502785	0.3148469718607898	0.14623715272246307	0.420484602244918	0.046800275392131774	0.21101349414822018	0.22772774940732607	0.07200901644480846	0.20641060000750328	0.10418820728783645	0.03456123482308657	0.19516589232252518	0.09326846639237676	0.2999420146270671	0	0	0.3021097969183439	0.013836943496193419	0.22581807773773982	0.024074677860561357	0.061392688508633504	0.5023800178631433	0.0037132772132817612	0	0.07752670836517224	0.00588522181830977	0.04425419506306356	0.08493284164791778	0.053870143519819114	0.3304171424284187	0.061944625796619246	0	0	0	0.12159764272912033	0.01610187305322503	0	0	0.2646189208887995	0.057785932599225875	0	0	0.2843415845493402	0.5826772328486519	0.06705693925467532	0.1437643751597933	0.022739584321842872	0.2013317001799809	0	0	0.6951402329769415	0.4526657490557951	0.42087326696225263	0.8317315386369335	0.07947927586321729	0.031437513979456835	0.47876761507805915	0.3787845441579488	0.0068664794774641325	0.3521627649631946	0.10163724237109018	0	0.15688812722237516	0.3019540887251046	0.2825935087125345	0.3425471877397332	0.0854207462368903	0	0.22216903802877996	0.09342711944813739	0.10688015951823338	0.11734775070331749	0	0.6582488878171832	0	0.29338744508949216	0.3299069293035041	0.058697284477697946	0.02449059916813371	2.1053315086637654	0.06911310469876802	0.30097180570070814	0.3870138586379269	0.07745721995051101	0.2324638162596091	0.006163649629647938	0.6223011618133197	0.12188830809510473	0.36374999284519094	0	0.2702913359509963	0	0	0	0	0.20200185943245963	0	0.004038382444411293	0.1340904420654973	9.889145594450671e-4	0.03772365335831335	0.3522870054752786	0.1696086578306398	0.08867730254171717	0.30897562660111044	0.611721256715474	0.1341192795741125	0.4556185602228262	0.30210756732761557	0.2659510839570722	0.23316580012662252	0.17226289876153275	0.13743864122623956	0	0.06335755836150711	0	0	0	0.3698296448727657	0.4772426835934061	0	0.2557098757985884	0.17027479919419727	0.22064262063136209	0.3567736756262024	0.05161499277481172	0.13715332263528904	0.1790236203386531	0.08559471698903098	0.3856051783243837	0.2785875648402017	0.24446570037945592
0	0	0	0	0.726222692091123	0.39389082297210587	0	0.37269089835895713	0	0	0	0	0	0.027900432524419955	0	0	0.022339865118210782	0	0	0	0	0	0	0.11703929963454202	0	0	0	0	0	0	0	0	0	0	0	0	0.18955998006565775	0	0	0	0	0	0.21883281249776054	0	0	0	0	0	0	0	0	0	0	0	0.36766825180929563	0	0	0	0	0	0	0	0	0	0	0	0.5546717030886079	0	0	0	0	0	0	0.3853449996540702	0	0	0	0	0.30463152102956803	0	0.22569370403755992	0	0	0	0	0	0	0	0.3659012624662886	0	0	0	0.02593891772224466	0	0	0	0	0.20428909220607758	0	0	0	0	0.05134049264068877	0	0	0.12117306325446481	0	0	0	0	0	0.1672693064427106	0	0.1589927668240105	0	0	0.016309403522723226	0.14356805301068332	0	0.4172774611339381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24152254692546282	0	0	0.21776782477232404	0	0	0	0.2518441344010373	0.38892227614379327	0	0	0	0	0	0	0	0	0	0.5147721342097938	0	0.022090198216598772	0	0	0	0	0.03830029070972937	0	0	0	0.3560316659457914
0	0.433059546918542	0.16803979901676505	0.1613360430857402	0.6714813243657168	0	0	0.1463777602655332	0.14320137115747875	0.16612713196456594	0.14855679728288537	0.22496054873364055	0.35934621824046725	0.08830442912135797	0.13510767984172345	0.13331358671676985	0.16989693852005716	0.14981816898050523	0.1399307396730044	0.12225126186148091	0.17547825292544525	0.35934134742031504	0.10028549278636853	0.007044636361713425	0.12916193955849473	0.14335309164680451	0.09785000253585083	0	0.0493305209239055	0	0.5930701559027797	0.15845445145063713	0.4149063845069449	3.9100062184621986	0.17549868702476037	2.5380927671646067	0.13798159448131955	0.328669782873073	0.08555905927644364	0.13658204753341407	0.19051868829520102	0.16228694085491469	0.13177891648255177	0.12897395917938012	0.17733148479923833	0.17487059054216136	0.15842154159430802	0	0.10597032303596104	0.3847065055832964	0.15458316522686077	0.10299925082991968	0.09219280591881404	0.004560197515881478	0.07927412029831522	0.08053141148759232	0.13875945600728434	0.37184275501645486	0.1608335205749839	0.13931157647295822	0.10538957463126841	0.17399923786244526	0.3912201847349327	0.08581497424439131	0.15133512589454629	0	0	0.13651971389631762	0.37479795573946667	0	0.12847319379528366	0.10450004089938142	0.09590493616484207	0	0.15832827461804796	0.09098774995886662	0.7618531110749278	0.16991672468287627	0.10437045136883301	0.07623492721328248	0.6189250617225993	0.1407697602510744	0.13001911382218873	0.1575006300829161	0.10497248714882731	0	0	0	0	0.11848822999783362	0.28825191151539553	0.062146728832597864	0.7231688805066807	0.3898901314811262	0.40277483319198915	0.0936386617511817	0.11653259974886013	0.12243255482499946	0.16225441305795021	0.09246345735116292	0.07383479907501594	0.122379004730236	0.11681491729495233	0.15695957346333708	0	0.0963022730838099	0.11771487542721545	0.08169211153546835	0	0	0.27367306215132037	0.6097407725365949	0.11031341698731012	0.16819183909925572	0.14077252718211658	0.1282915091529666	0.12429701722223228	0.08927994119651925	0	0	0	0.42014508711276627	0.0896394988534002	0.31610424881939336	0.17372180123120576	0.25480136888066407	0	0.1200917587634216	0.29029867043685154	0.1961995047852886	0	0.485001454791973	0	0.15833299212180701	0.3927752388914634	0.33974818177046195	0	0.09933890937653223	0.33914083959481833	0.10152486704284022	0.14229804254449188	0.16610707521025864	0.1489221513236812	1.3262954205616109	0.24715736341463396	0.28943072127430636	0.12917581447720178	0.15388924662397443	0	0.1093581909217556	0.6885120803410334	0.3732620013695057	0	0.10908043438171322	0	0	0.16525767599076796	0.1426180483946853	0.13026656777889256	0.13215279677320732	0.19636865117791955	0.44786661097678515	0.18496744762983597	0.18281389287726965	0.1828580315312203	0	0	0.15594908671891644	0.1499451228772448	0.14706652462810665
0	0	0	0	0.40795138548682625	0	0	0	0	0	0	0.13047796504206566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7660159793733072	0	0.19177801295889416	0.03826124700281481	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985196344781914	0	0.08797171084666607	0.02431231775949494	0	0.07917442548498468	0	0	0	0	0.30559942838954346	0	0.01975189732686123	0	0	0	0	0	0	0	0	0	0.6087265975057461	0	0	0.04716574094044722	0	0	0.022492473660854606	0	0	0.33743646144309725	0.38873139506890964	0	0	0	0	0	0	0.2657108678073456	0	0	0.35248174956328954	0	0	0	0	0	0	0	0	0.1695418931955077	0	0	0	0	0.0036091950298973163	0	0	0	0	0	0	0.12061841138557955	0	0.031895834544271626	0	0	0	0	0	0	0.013989692014571273	0	0.33496160029376276	0	0.29472508210689485	0	0	0	0	0	0	0	0	0	0	0	0	0.0051854344978241595	0.0739734383019097	0	0	0	0	0	0.014014954692413152	0	0	0.14165159839783248	0	0	0	0	0	0	0	0.01428168806643268	0	0	0.10061310606501886	0	0	0	0.08883828663146696	0	0	0.1096579787906042	0	0	0	0	0	0	0	0
0.14955847653223905	0.31996417274156164	0.078935599213203	0	0	0.4607932820655768	0.18518402423441535	0	0	0	0.007908726105011026	0.04647165611290531	0	0	0.06613993736975592	0	0	0	0	0	0	0	0.07915660550077153	0	0.0636833043617199	0	0	0	0	0.14985340086722723	0	0.07610184306659651	0	0	0.21075146660276797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09158387616518185	0.05961386781542041	0.5472114447497965	0.04350577396328572	0	0	0.11556288519607856	0	0.12388315083886267	0.32122011578940823	0	0	0.10280996479883805	0.06212458663920698	0.46239051903244194	0	0	0.5487885052496048	0	0	0	0	0	0	0	0	0	0	0.06789146757521072	0	0	0	0.2294298291026131	0	0.021487447594038287	0	0.06221441376856042	0	0	0.3308150896738954	0	0	0.08353258854528281	0.008151967659427356	0.22385336446359166	0	0	0.02043904192609234	0	0	0	0	0.1773767077251085	0	0	0	0	0	0	0	0.15439737300451056	0	0	0	0	0	0	0	0	0	0	0.06231015838756804	0	0.17618150348015274	0.11590270641315464	0	0	0	0.08803055995476661	0	0.28637759662904255	0.2912536160573691	0	0	0	0.03517264537626524	0	0	0	0	0.1377090537557688	0	0	0	0	0	0	0	0	0.20332762539688262	0	0.06172646741705963	0.15813980960922186	0	0	0.009560857056418187	0	0	0	0	0.1163277182731299	0.2440241333829824	0.15776155317728235	0	0.11680408977675188	0.16482263874467917	0	0
0	0.09966980024274365	0.05027406543444399	0.1522470851342918	0.4908760843488001	2.1803617200305347	0	0	0.0658637834060345	0.03141223198553658	0	0	0.2188979872600177	0.4053578209504341	0.21369764666736382	0.08418284965752842	0.013901978738698757	0.09456072907482453	0.008032344893889487	0.21454624307732145	0.04146592439421605	0.09587031742733337	0.34274379527802035	0.3587270771306674	0.1297781304330422	0	0.26197530028832977	0	0.49011352463796	0.0013363562805798757	0.08968226894487122	0	0	0.1821543543474451	0.008591277746690218	0.028420173989336828	0.11123666443798153	0.18030839978689195	0.3200470198680332	0.0706200323723988	0	0	0.08870177916016869	0.07277146103869887	0.03978323592709945	0.029114189042183755	7.425541096738736e-4	0.036173707905127916	0.16168143010093705	0.17289818595273437	0.08039607541178603	0.1217869583359002	0.38396169703271665	0.5457442192247882	0	0.3614623631696652	0.19000785159659334	0.11755592292724715	0.011244659794121592	0.15159909801704471	0.15730266721778702	0.15290806645591867	0.18814016343673282	0.35943153901911157	0	0	0.35789868436299654	0.2011255221671716	0.1989017394188271	0	0	0.22741735463276827	0.27163456560896787	0.153111193009254	0	0.115293822080338	0.21892871970457317	0.0861741319607392	0.18144097060406295	0.3982728669479221	0	0.13481935913661447	0.10728032130850067	0.012144035425684763	0	0.00886387647123274	0	0	0	0.055997495698975275	0.12693808166229395	0	0	0.23877983257730107	0.021252869664003304	0.16501011456071452	0.1324513492196266	0.1613740485888177	0.07774513358453138	0.18770351787675066	0.3450708528737547	0.2262283251985131	0.21240156441723657	0.06579333944096241	0.09458642788826141	0.18763627450472492	0.20351938266985153	0.24155581760468914	0.10466967481281493	0.11597903215375199	0.163218787282296	0	0	0	0.1467614189622139	0.1503265967015533	0.28660289636438274	0	0.17207985358092226	0	0.22013571380677183	0.10783857581586877	0.4034008745729096	0.39250612030102616	0	0	0	0.05162018503717419	0.32300401589455685	0.6439900018680607	0	0.434374995316513	0	0	0	0.22856441260945898	0.6109250032942747	0.23955846752845758	0.1991443839662788	0.16483610415995847	0	0.08107079973917147	0	0.08002500079476427	0	0.17154659744364978	0.2315061170233179	0	0	0.2932858102718743	0.026661270825982422	0	0	0.17651900587861605	0	0.20977557695989255	0	0.12461766839358454	0	0.13899147434479014	0	0	0.010506486889750956	0.14443622913327553	0.03657506979057629	0	0.17356678405434398	0.056574345171044274	0.09950953906208168	0
0	0.2485671942248422	0	0.09515454975912765	0.11454827471752527	0	0.0773122878856011	0.04023576960694636	0.10127537654779448	0.014922782089895475	0.10290203901610905	0.046981942778786756	0.10696940578711747	0	0	0	0	0.28846436103400497	0	0.1723384521551819	0	0.3798939206778014	0	0.02256819191195275	0.07556551407252615	0.06383675765315117	0	0	0	0	0	0.1535373306528391	0.013951013332459072	0	0.12245613391766627	0	0	0	0.2529727447172047	0	0.03425315254474698	0	0.22312501012741429	0.1945475757362207	0.03608515388955916	0	0.06548562904107472	0	0	0	0	0	0	0.17375900145010914	0.10788277243635686	0	0.014284034063564155	0	0	0.008455111151114636	0.1574840756979411	0	0.09157122366500517	0.21275263487494828	0.032157500311933776	0	0	0	0	0	0.4075390213486898	0	0	0	0	0	0	0.2960811291764874	0.023306405821925447	0	0	1.0768557330124995e-4	0	0	0.27982231854365464	0.1900067468585795	0.05422840991372946	0.2619189412387507	0	0.0601344644508342	0.0739949382521577	0.546120371020326	0	0	0.027638797496207464	0	0.05667382967176131	0	0	0	0	0	0.07378115682280359	0	0	0.17292679966925079	0	0	0.0029552436846633223	0	0	0.2611094417815638	0	0	6.689174938379894e-4	0.35383527627166905	0.01707906280898444	0	0	0.5249316896883024	0	0.2050058650275314	0	0	0	0.19032243814909278	0	0	0	0	0	0	0	0	0	0	0.3335057953189166	0	0	0.29990199638958626	0.012951508742247621	0.20935652865420434	0.0021215544284347576	0	0	0	0.029928924365519062	0.0316023661609211	0	0	0	0	0	0	0.05512214736011051	0	0	0	0.003205898756702158	0	0.0721705764999066	0.03859094714729956	0	0	0	0	0	0	0.11034896036290728	0
0	0	0.11264977056694539	0	0	0.48716241265273796	0.11613047163793186	0	0	0	0	0	0	0.13170357761679197	0	0.03944262419931266	0	0	0.19132382669098613	0	0	0	0	0	0	0	0.029234336483491052	0.07333187853991244	0	0.11286161434204572	0.1926587736169229	0	0	0	0	0	0	0	0	0	0.2927437542367271	0	0	0	0	0	0	0.11847141841376238	0	0	0	0	0.15634641166938412	0	0	0	0	0	0	0	0	0.07323315931848462	0	0	0.3100335049667353	0.18688161387539087	0	0	0	0.22598308649322382	0	0	0	0	0.09605952882333206	0	0	0	0	0	0	0	0.4312109821923188	0	0	0.15778349787878929	0	0.12657087995953553	0.0668165907124878	0.006888102392706388	0	0	0	0	0	0	0.0205001731718904	0	0.20898842261530118	0.04196010914963494	0	0	0.03474411089684283	0	0	0	0	0	0	0.382449415539511	0	0	0.011715238260492575	0	0.1718262503206716	0	0.02731431683709747	0	0	0.14816340497964725	0	0	0	0	0	0.007783953627587353	0.2426521400344228	0	0	0.2791097626918119	0	0	0.38520694264131794	0	0	0	0	0	0	0	0.09787679892259164	0	0	0	0	0	0.05976693314736156	0	0.30427314384114057	0	0	0.03957255354964517	0.10362477416800694	0	0	0	0.24065302906342054	0	0	0.15393427780343288	0.2458122193358745	0	0.005497142489110762	0	0	0	0	0.17923434293080023	0	0
0	0	0	0	0	0	0	0	0.07039450706931574	0	0	0.328861735668587	0	0	0.2813933612678997	0.009175479116265959	0.18330480033454308	0.24627795242556527	0	0	0.3549135068321584	0	0	0	0	0.04813197329946932	0	0.022426508422304647	0	0	0	0	0	0	0.14016856475048312	0	0	0	0	0.16599692528439747	0	0	0	0	0	0	0	0.2033927955600687	0.02334654507732522	0	0.4927075168510096	0	0	0	0.25742977651787624	0	0	0	0.07372225985605375	0	0	0	0	0	0.01342469974157895	0.0330284429017334	0	0	0.14336395540293453	0.2564157091640223	0	0	0.14124254292109045	0	0	0.03346703564403575	0.1597912247106585	0	0	0	0	0	0	0	0.6591087218690365	0	0.25032839168578963	0	0	0	0.1805091065499702	0.21035983585496076	0.16887678202031148	0.12207317929130401	0.15591981037247643	0.17943116845168644	0	0	0	0	0	0	0	0.20914476020199876	0.2161791024098304	0	0.0027789981836481847	0	0.34909352516704606	0	0	0	0.2427198251443392	0.297990747554435	0	0	0	0	0.016513140769706003	0	0	0	0	0	0	0	0	0.15959419126329805	0	0.2113051484330461	0	0	0	0	0	0	0	0.12538271949644098	0	0	0.11032735113833643	0	0	0	0	0.980388285686995	0	0	0	0.227859365179839	0	0.09762816974500588	0.32223188589539464	0	0	0	0	0	0.11470886348397862	0	0	0.052812174943822135	0.27609349168351777	0	0.36091304843775796	0.6315601293582636	9.432178997953455e-5	0	0.2580712698893547	0
