k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio
k2	1	70, 82	0.16	0	0.72, 0.82	0.36, 0.41	0.36, 0.42	0.57	0.39	12.78	0.35, 0.26	0.3	0.13	1.39	0.69	0.68
k3	1	52, 56, 44	0.16	0	0.63, 0.74, 0.63	0.32, 0.39, 0.3	0.32, 0.41, 0.28	0.55	0.34	9.72	0.35, 0.21, 0.34	0.3	0.14	1.31	1.09	0.61
k4	1	45, 36, 36, 35	0.1	0	0.67, 0.55, 0.75, 0.58	0.34, 0.29, 0.37, 0.31	0.34, 0.28, 0.34, 0.31	0.53	0.33	9.37	0.3, 0.23, 0.08, 0.27	0.22	0.11	1.16	1.38	0.62
k5	1	43, 1, 38, 33, 37	0.1	0	0.66, NA, 0.76, 0.58, 0.55	0.33, NaN, 0.4, 0.31, 0.29	0.33, NA, 0.36, 0.3, 0.29	0.53	0.33	9.54	0.31, 0, -0.11, 0.04, 0.25	0.1	0.11	0.84	1.41	0.63
k6	1	32, 1, 32, 26, 18, 43	0.13	0	0.58, NA, 0.58, 0.63, 0.47, 0.57	0.27, NaN, 0.3, 0.34, 0.24, 0.3	0.27, NA, 0.3, 0.32, 0.25, 0.31	0.53	0.29	7.29	0.41, 0, 0.06, -0.02, 0.48, 0.17	0.18	0.15	0.98	1.6	0.56
k7	1	1, 28, 34, 24, 32, 18, 15	0.1	0	NA, 0.57, 0.52, 0.65, 0.55, 0.47, 0.56	NaN, 0.24, 0.28, 0.34, 0.31, 0.24, 0.3	NA, 0.23, 0.28, 0.34, 0.32, 0.25, 0.27	0.52	0.29	6.83	0, 0.44, 0.1, -0.03, -0.05, 0.47, 0.17	0.16	0.13	0.91	1.78	0.55
k8	1	26, 13, 18, 29, 26, 8, 31, 1	0.12	0	0.57, 0.56, 0.47, 0.55, 0.49, 0.6, 0.61, NA	0.23, 0.32, 0.24, 0.3, 0.24, 0.43, 0.32, NaN	0.22, 0.31, 0.25, 0.31, 0.25, 0.43, 0.31, NA	0.52	0.28	6.68	0.43, 0.12, 0.47, -0.02, 0.25, -0.14, -0.01, 0	0.14	0.16	0.73	1.9	0.55
k9	1	25, 14, 18, 26, 7, 23, 1, 23, 15	0.12	0	0.4, 0.71, 0.47, 0.49, 0.37, 0.58, NA, 0.54, 0.66	0.21, 0.42, 0.24, 0.24, 0.24, 0.28, NaN, 0.31, 0.38	0.21, 0.42, 0.25, 0.25, 0.24, 0.28, NA, 0.31, 0.36	0.51	0.28	6.84	0.45, -0.21, 0.45, 0.19, 0.23, -0.04, 0, -0.02, -0.17	0.1	0.14	0.74	2.05	0.55
k10	1	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0.12	0	0.71, 0.4, 0.47, 0.47, 0.35, 0.57, 0.49, 0.78, 0.52, NA	0.42, 0.21, 0.35, 0.23, 0.26, 0.28, 0.24, 0.39, 0.32, NaN	0.42, 0.21, 0.38, 0.22, 0.26, 0.29, 0.25, 0.37, 0.32, NA	0.51	0.29	6.83	-0.18, 0.4, -0.05, 0.45, 0.14, -0.09, 0.24, -0.16, -0.03, 0	0.07	0.13	0.74	2.11	0.56
k11	1	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0.12	0	0.49, 0.51, 0.39, 0.56, 0.31, 0.51, NA, 0.71, 0.61, 0.46, 0.47	0.24, 0.38, 0.21, 0.35, 0.25, 0.3, NaN, 0.43, 0.34, 0.26, 0.23	0.23, 0.36, 0.21, 0.33, 0.26, 0.3, NA, 0.42, 0.34, 0.27, 0.22	0.51	0.28	6.5	0.26, -0.15, 0.32, -0.08, 0.14, 0.04, 0, -0.19, -0.1, 0.05, 0.42	0.06	0.13	0.74	2.19	0.55
