sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_CNV	Kids_First_Biospecimen_ID_SNV	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-1099	BS_052PZFMK	BS_EPM623G4	BS_EPM623G4	BS_R9B71R7T	BS_052PZFMK
7316-2176	BS_0C7VZC0A	BS_KSHETTQC	BS_G802JZ6S	BS_NBY2QK7M	BS_0C7VZC0A
7316-1746	BS_0RQ4P069	BS_68TZMZH1	BS_68TZMZH1	BS_XPBRB9S7	BS_0RQ4P069
7316-466	BS_0VXZCRJS	BS_T7WMJ08W	BS_T7WMJ08W	BS_YXXWVEYJ	BS_0VXZCRJS
7316-5335	BS_0Z1XRQ8F	BS_ANZMQ09Q	BS_ANZMQ09Q	BS_GTF0J2P7	BS_0Z1XRQ8F
7316-6381	BS_12G04QJM	BS_00GG0R70	BS_00GG0R70	BS_1ZAER3AN	BS_12G04QJM
7316-8851	BS_1A521KDP	BS_K3HGX8MT	BS_K3HGX8MT	BS_BQA22THB	BS_1A521KDP
7316-1769	BS_1A6MQ9ZA	BS_KY1CTGJ3	BS_KY1CTGJ3	BS_9FKT8K0G	BS_1A6MQ9ZA
7316-7075	BS_1D93Z575	BS_PYYNXW86	BS_PYYNXW86	BS_ENH6KT2R	BS_1D93Z575
7316-9433	BS_1E684SD5	BS_EKJB7HFV	BS_EKJB7HFV	BS_E42TRDVH	BS_1E684SD5
7316-913	BS_1EBQ3T20	BS_742CDKAS	BS_742CDKAS	BS_DZGBN4Z0	BS_1EBQ3T20
7316-2561	BS_1EN5V3XW	BS_928HWFFM	BS_928HWFFM	BS_R7CV19F3	BS_1EN5V3XW
7316-114	BS_23QW0BBA	BS_3NX3RBCX	BS_3NX3RBCX	BS_V6MCRDCB	BS_23QW0BBA
7316-4800	BS_25HNKZ79	BS_DX3CGG44	BS_DX3CGG44	BS_8WG0HR0E	BS_25HNKZ79
7316-6761	BS_25KYGJ71	BS_3KD309X6	BS_3KD309X6	BS_Z5AD9WRE	BS_25KYGJ71
7316-3677	BS_297H8BT4	BS_P9P1N48D	BS_P9P1N48D	BS_CQM7QGQB	BS_297H8BT4
7316-3058	BS_2A162JH9	BS_HM5GFJN8	BS_HM5GFJN8	BS_897FT64P	BS_2A162JH9
7316-1085	BS_2A5R9MEJ	BS_ZCY4ECNV	BS_ZCY4ECNV	BS_PYSE2QW3	BS_2A5R9MEJ
7316-6349	BS_2AV1H5TV	BS_0ND04J2B	BS_0ND04J2B	BS_41G5ASPE	BS_2AV1H5TV
7316-7621	BS_2FEZWH1F	BS_JM1VYTKQ	BS_JM1VYTKQ	BS_T8GDG1XP	BS_2FEZWH1F
7316-3655	BS_2T5PJAW8	BS_B6BQY9N9	BS_B6BQY9N9	BS_FTF4DNPM	BS_2T5PJAW8
7316-2189	BS_31XK6FNH	BS_02YBZSBY	BS_02YBZSBY	BS_MQ55A0TN	BS_31XK6FNH
7316-3030	BS_399RPKC9	BS_8FSJDG2T	BS_8FSJDG2T	BS_S475E17R	BS_399RPKC9
7316-445	BS_3JQDQR52	BS_G9MQM1KK	BS_A3S28ANC	BS_7R0JWX21	BS_3JQDQR52
7316-2610	BS_45J79YTF	BS_XGVSX8BX	BS_XGVSX8BX	BS_YV7KQVDG	BS_45J79YTF
7316-2151	BS_49BQS7Z6	BS_SKRY0BJ4	BS_2WS7E25W	BS_98S645ES	BS_49BQS7Z6
7316-1789	BS_49FQXT2E	BS_X1DSETVE	BS_X1DSETVE	BS_2N7G3R27	BS_49FQXT2E
7316-2152	BS_4B0BAVTX	BS_KHSYAB3J	BS_KHSYAB3J	BS_5NG858V5	BS_4B0BAVTX
7316-7622	BS_4FSWWNAK	BS_AH252MTC	BS_AH252MTC	BS_E9PJZ7VC	BS_4FSWWNAK
7316-9066	BS_4J9RWYRN	BS_3A7YMV93	BS_3A7YMV93	BS_56PCCAVM	BS_4J9RWYRN
7316-870	BS_4PPHAQXF	BS_KXGJ1HMG	BS_8TM3SM9D	BS_3MYH1TKQ	BS_4PPHAQXF
7316-195	BS_4QW2S1Q8	BS_AYPBAHJ6	BS_AYPBAHJ6	BS_BJ9ACB1Q	BS_4QW2S1Q8
7316-9840	BS_4T0HQ9QF	BS_GM6P267S	BS_GM6P267S	BS_0SQ5T1DR	BS_4T0HQ9QF
7316-644	BS_51RA1PGE	BS_GKPVZXYP	BS_GKPVZXYP	BS_1PTQFNW5	BS_51RA1PGE
7316-3075	BS_52C576HH	BS_NJFK43N3	BS_NJFK43N3	BS_GJCT6WCH	BS_52C576HH
7316-2557	BS_5965SFPZ	BS_YB99Q6TN	BS_YB99Q6TN	BS_G6DSNCE9	BS_5965SFPZ
7316-85	BS_59ZJWJTF	BS_CZRA594T	BS_AHW1VXPG	BS_7JTWSDK1	BS_59ZJWJTF
7316-158	BS_5AK32KGB	BS_STNH7YSX	BS_SH9NS018	BS_H07WTQEH	BS_5AK32KGB
7316-6807	BS_5G5BD2MD	BS_5YD2MA16	BS_5YD2MA16	BS_5YM07796	BS_5G5BD2MD
7316-6884	BS_5KBXD2GQ	BS_1K6WJ1D3	BS_1K6WJ1D3	BS_0K1E1H3F	BS_5KBXD2GQ
7316-4543	BS_6VRG1XFB	BS_XWYBVJ4R	BS_XWYBVJ4R	BS_GWGDB4AM	BS_6VRG1XFB
7316-1763	BS_6WP1FHTE	BS_853PNV7P	BS_5C0SRKYC	BS_QWM1BP7G	BS_6WP1FHTE
7316-2308	BS_7327SDAQ	BS_JB3J82ZK	BS_JB3J82ZK	BS_NV6NQHM2	BS_7327SDAQ
7316-6151	BS_77SBTNPN	BS_B5T9CFX0	BS_B5T9CFX0	BS_CPBKXP86	BS_77SBTNPN
7316-8970	BS_7WKNNRHK	BS_7BN22JGJ	BS_7BN22JGJ	BS_6RRQZCP7	BS_7WKNNRHK
7316-8016	BS_84VZX732	BS_8GW9ZD0F	BS_8GW9ZD0F	BS_0WPTQK91	BS_84VZX732
7316-3079	BS_8ERBDF7D	BS_44ANHKWM	BS_44ANHKWM	BS_CYX19WJT	BS_8ERBDF7D
